,CustomerID,Total_Purchases,Total_Net_Revenue,Total_Sale_Qty,Total_Return_Qty,Avg_Order_Value,RecencyDays,Return_Rate,Net_Qty,Purchase_Frequency_Monthly,Customer_Value
2798,16133.0,46,14305.66,8888,150,310.99260869565217,3,0.016876687668766877,8738,345.0,Positive
1861,14866.0,13,14197.45,6752,183,1092.1115384615384,10,0.027103080568720378,6569,35.45454545454546,Positive
3215,16705.0,29,13946.130000000001,5476,18,480.90103448275863,0,0.003287070854638422,5458,870.0,Positive
276,12681.0,27,13677.59,7536,18,506.5774074074074,14,0.0023885350318471337,7518,54.0,Positive
226,12621.0,23,13612.07,7440,36,591.8291304347825,1,0.004838709677419355,7404,345.0,Positive
71,12433.0,7,13375.87,11071,0,1910.8385714285716,0,0.0,11071,210.0,Positive
157,12540.0,19,13309.039999999999,6685,8,700.4757894736841,19,0.0011967090501121915,6677,28.5,Positive
106,12477.0,9,13117.01,3653,33,1457.4455555555555,22,0.009033670955379141,3620,11.739130434782608,Positive
3973,17735.0,19,13110.02,8439,0,690.001052631579,1,0.0,8439,285.0,Positive
1420,14258.0,10,12650.08,7100,2,1265.008,8,0.00028169014084507044,7098,33.333333333333336,Positive
561,13078.0,43,12432.28,5630,73,289.1227906976744,0,0.012966252220248668,5557,1290.0,Positive
2329,15498.0,35,12396.46,6105,21,354.1845714285714,0,0.0034398034398034397,6084,1050.0,Positive
2698,16000.0,3,12393.7,5110,0,4131.233333333334,2,0.0,5110,30.0,Positive
2438,15640.0,17,12336.74,6572,34,725.6905882352941,3,0.005173463177115033,6538,127.5,Positive
277,12682.0,31,12279.82,5555,0,396.1232258064516,3,0.0,5555,232.5,Positive
169,12557.0,5,11990.960000000001,4384,0,2398.192,15,0.0,4384,9.375,Positive
3090,16525.0,29,11895.57,7397,904,410.19206896551725,1,0.1222117074489658,6493,435.0,Positive
3671,17340.0,16,11891.18,5967,65,743.19875,8,0.010893246187363835,5902,53.333333333333336,Positive
1674,14606.0,128,11633.35,6187,246,90.885546875,0,0.03976078875060611,5941,3840.0,Positive
464,12939.0,8,11581.8,4876,0,1447.725,63,0.0,4876,3.75,Positive
1370,14194.0,32,11216.75,5840,57,350.5234375,4,0.00976027397260274,5783,192.0,Positive
2052,15125.0,23,11117.05,6193,202,483.34999999999997,24,0.03261747133860811,5991,27.599999999999998,Positive
50,12409.0,7,11056.93,5551,8,1579.5614285714287,78,0.0014411817690506215,5543,2.6582278481012658,Positive
1883,14895.0,24,11020.26,4851,28,459.1775,7,0.005772005772005772,4823,90.0,Positive
1675,14607.0,17,10981.1,11526,3768,645.9470588235295,15,0.3269130661114003,7758,31.875,Positive
487,12971.0,89,10930.26,9289,86,122.81191011235956,3,0.009258262460975348,9203,667.5,Positive
756,13340.0,7,10736.48,5770,0,1533.782857142857,44,0.0,5770,4.666666666666667,Positive
3854,17581.0,31,10716.31,5915,66,345.6874193548387,0,0.011158072696534235,5849,930.0,Positive
740,13319.0,36,10664.34,4724,38,296.2316666666667,4,0.008044030482641828,4686,216.0,Positive
3537,17139.0,15,10567.87,5176,19,704.5246666666667,15,0.0036707882534775887,5157,28.125,Positive
587,13113.0,40,10510.0,3050,456,262.75,0,0.14950819672131146,2594,1200.0,Positive
1277,14062.0,12,10464.85,5593,0,872.0708333333333,9,0.0,5593,36.0,Positive
3279,16779.0,28,10436.05,5301,89,372.7160714285714,1,0.016789285040558384,5212,420.0,Positive
1794,14769.0,10,10383.83,7239,30,1038.383,2,0.004144218814753419,7209,100.0,Positive
3516,17107.0,7,10362.48,4826,300,1480.3542857142857,32,0.06216328222130128,4526,6.363636363636363,Positive
2420,15615.0,27,10360.04,5508,15,383.7051851851852,9,0.0027233115468409588,5493,81.0,Positive
2147,15251.0,15,10327.11,6171,87,688.474,8,0.014098201263976665,6084,50.0,Positive
2836,16180.0,10,10217.48,5867,14,1021.7479999999999,99,0.002386228055224135,5853,3.0,Positive
3328,16843.0,17,10183.82,10159,5,599.0482352941176,42,0.000492174426616793,10154,11.86046511627907,Positive
4061,17865.0,27,10158.54,5757,59,376.24222222222227,30,0.01024839326037867,5698,26.129032258064512,Positive
3950,17706.0,22,10097.37,3899,66,458.97136363636366,3,0.016927417286483715,3833,165.0,Positive
198,12590.0,3,9861.38,4283,4,3287.1266666666666,189,0.0009339248190520663,4279,0.4736842105263158,Positive
652,13199.0,39,9803.96,6176,4,251.3835897435897,3,0.0006476683937823834,6172,292.5,Positive
507,13001.0,15,9765.07,5490,8,651.0046666666666,3,0.0014571948998178506,5482,112.5,Positive
2013,15078.0,38,9623.35,5105,36,253.24605263157895,6,0.007051909892262488,5069,162.85714285714286,Positive
836,13458.0,22,9537.92,5508,48,433.5418181818182,6,0.008714596949891068,5460,94.28571428571428,Positive
1768,14733.0,15,9451.54,3764,39,630.1026666666668,8,0.010361317747077577,3725,50.0,Positive
3089,16523.0,28,9295.67,4265,32,331.98821428571426,1,0.007502930832356389,4233,420.0,Positive
298,12709.0,26,9264.1,3912,104,356.3115384615385,2,0.026584867075664622,3808,260.0,Positive
1720,14667.0,27,9165.04,5319,3,339.44592592592596,10,0.0005640157924421884,5316,73.63636363636364,Positive
1495,14367.0,19,9134.12,4426,28,480.7431578947369,7,0.0063262539539087215,4398,71.25,Positive
328,12744.0,10,9120.39,5241,7,912.039,51,0.0013356229727151307,5234,5.769230769230769,Positive
178,12567.0,11,9114.94,4305,216,828.6309090909091,22,0.050174216027874564,4089,14.347826086956522,Positive
4225,18092.0,12,9065.76,4252,2,755.48,1,0.00047036688617121356,4250,180.0,Positive
1206,13969.0,20,8956.92,4528,59,447.846,6,0.013030035335689047,4469,85.71428571428571,Positive
86,12451.0,6,8933.52,6575,120,1488.92,10,0.018250950570342206,6455,16.363636363636363,Positive
859,13488.0,17,8910.61,4518,6,524.1535294117648,16,0.0013280212483399733,4512,30.0,Positive
2725,16033.0,27,8690.03,3529,23,321.852962962963,5,0.006517427033153868,3506,135.0,Positive
569,13090.0,18,8689.39,2263,69,482.7438888888889,8,0.03049049933716306,2194,60.0,Positive
3649,17306.0,21,8600.73,11491,21,409.5585714285714,10,0.0018275171873640241,11470,57.27272727272727,Positive
3449,17017.0,27,8574.11,6673,60,317.5596296296296,2,0.008991458114790948,6613,270.0,Positive
3182,16656.0,21,8568.24,8894,21,408.01142857142855,21,0.0023611423431526874,8873,28.636363636363637,Positive
3609,17243.0,30,8491.75,3320,8,283.05833333333334,0,0.0024096385542168677,3312,900.0,Positive
4260,18139.0,8,8393.22,5557,96,1049.1525,16,0.017275508367824367,5461,14.117647058823529,Positive
3113,16558.0,24,8257.04,5377,31,344.04333333333335,0,0.005765296633810675,5346,720.0,Positive
2227,15358.0,29,8235.65,7050,122,283.98793103448276,4,0.01730496453900709,6928,174.0,Positive
278,12683.0,20,8221.09,4987,84,411.0545,3,0.01684379386404652,4903,150.0,Positive
1911,14936.0,9,8117.42,4085,2,901.9355555555555,8,0.0004895960832313342,4083,30.0,Positive
3194,16672.0,23,8093.59,2832,20,351.89521739130436,1,0.007062146892655367,2812,345.0,Positive
1273,14056.0,29,8062.46,4252,41,278.01586206896553,0,0.009642521166509878,4211,870.0,Positive
1123,13854.0,29,8025.0199999999995,2296,18,276.72482758620686,8,0.0078397212543554,2278,96.66666666666667,Positive
1919,14952.0,15,7912.79,3355,60,527.5193333333333,45,0.01788375558867362,3295,9.782608695652174,Positive
1846,14849.0,28,7904.28,5694,38,282.29571428571427,21,0.0066736916051984545,5656,38.18181818181819,Positive
4238,18109.0,31,7877.27,4230,18,254.10548387096776,1,0.00425531914893617,4212,465.0,Positive
66,12428.0,12,7877.2,3536,33,656.4333333333333,25,0.009332579185520362,3503,13.846153846153845,Positive
73,12435.0,2,7829.89,2055,0,3914.945,79,0.0,2055,0.75,Positive
2178,15290.0,21,7803.7699999999995,4501,70,371.6080952380952,4,0.015552099533437015,4431,126.0,Positive
1813,14796.0,27,7792.51,5995,83,288.61148148148146,0,0.01384487072560467,5912,810.0,Positive
959,13629.0,11,7792.36,4372,0,708.3963636363636,22,0.0,4372,14.347826086956522,Positive
572,13093.0,13,7741.47,3961,18,595.4976923076923,266,0.0045443069931835394,3943,1.4606741573033708,Positive
1615,14527.0,86,7709.69,2088,40,89.64755813953488,2,0.019157088122605363,2048,860.0,Positive
4023,17811.0,51,7601.8,4146,49,149.05490196078432,3,0.011818620356970575,4097,382.5,Positive
1984,15044.0,22,7563.88,2785,9,343.8127272727273,18,0.003231597845601436,2776,34.73684210526316,Positive
2102,15194.0,22,7521.17,5703,55,341.87136363636364,2,0.009644046992810802,5648,220.0,Positive
4285,18172.0,25,7490.17,3184,14,299.6068,14,0.0043969849246231155,3170,50.0,Positive
698,13263.0,35,7436.93,4768,0,212.48371428571429,0,0.0,4768,1050.0,Positive
3716,17396.0,8,7330.8,2005,0,916.35,38,0.0,2005,6.153846153846153,Positive
4330,18229.0,20,7276.900000000001,2488,0,363.845,11,0.0,2488,50.0,Positive
521,13018.0,29,7272.75,5435,1,250.7844827586207,15,0.0001839926402943882,5434,54.375,Positive
191,12583.0,18,7187.34,5060,51,399.2966666666667,2,0.01007905138339921,5009,180.0,Positive
3248,16745.0,18,7157.1,6719,8,397.6166666666667,86,0.0011906533710373567,6711,6.206896551724138,Positive
491,12980.0,12,7092.06,886,22,591.005,155,0.024830699774266364,864,2.3076923076923075,Positive
745,13324.0,12,7072.8,5205,5,589.4,31,0.0009606147934678194,5200,11.25,Positive
3346,16873.0,10,7066.31,3840,15,706.6310000000001,4,0.00390625,3825,60.0,Positive
103,12474.0,30,7064.7699999999995,4833,83,235.4923333333333,16,0.017173598179184773,4750,52.94117647058824,Positive
3237,16729.0,26,7041.69,5722,14,270.83423076923077,35,0.002446696959105208,5708,21.666666666666668,Positive
1219,13985.0,16,7024.53,3447,8,439.033125,3,0.0023208587177255585,3439,120.0,Positive
1926,14961.0,12,7006.58,3708,16,583.8816666666667,10,0.004314994606256742,3692,32.72727272727273,Positive
344,12766.0,7,6989.63,3646,0,998.5185714285715,3,0.0,3646,52.5,Positive
365,12798.0,3,6977.04,5256,0,2325.68,9,0.0,5256,9.0,Positive
2307,15465.0,24,6945.0199999999995,1257,40,289.37583333333333,19,0.031821797931583136,1217,36.0,Positive
525,13027.0,6,6912.0,17280,0,1152.0,113,0.0,17280,1.5789473684210527,Positive
498,12989.0,19,6854.51,2943,28,360.7636842105263,2,0.009514101257220523,2915,190.0,Positive
2843,16187.0,17,6841.24,5048,44,402.4258823529412,31,0.008716323296354992,5004,15.9375,Positive
3732,17416.0,9,6838.34,4302,36,759.8155555555555,29,0.008368200836820083,4266,9.0,Positive
3222,16713.0,21,6827.88,4271,12,325.13714285714286,18,0.002809646452821353,4259,33.15789473684211,Positive
295,12705.0,14,6814.24,3997,24,486.7314285714286,14,0.00600450337753315,3973,28.0,Positive
3096,16532.0,3,6748.8,2016,0,2249.6,17,0.0,2016,5.0,Positive
385,12830.0,7,6748.4,9848,1,964.0571428571428,37,0.00010154346060113728,9847,5.526315789473684,Positive
2408,15601.0,17,6745.36,4983,5,396.78588235294114,10,0.0010034115994380895,4978,46.36363636363637,Positive
4197,18055.0,11,6729.29,2452,5,611.7536363636364,6,0.0020391517128874386,2447,47.14285714285714,Positive
926,13576.0,20,6703.3,2646,6,335.165,9,0.0022675736961451248,2640,60.0,Positive
1966,15023.0,12,6680.81,2827,8,556.7341666666667,2,0.002829854969932791,2819,120.0,Positive
3249,16746.0,19,6676.76,4660,3,351.4084210526316,4,0.0006437768240343348,4657,114.0,Positive
2961,16353.0,23,6675.71,2006,0,290.24826086956523,3,0.0,2006,172.5,Positive
2146,15249.0,15,6657.36,3577,20,443.82399999999996,31,0.005591277606933185,3557,14.0625,Positive
3178,16652.0,11,6654.26,3283,16,604.9327272727273,53,0.004873591227535791,3267,6.111111111111111,Positive
2838,16182.0,4,6617.65,3791,0,1654.4125,71,0.0,3791,1.6666666666666667,Positive
105,12476.0,20,6546.58,2408,71,327.329,0,0.029485049833887042,2337,600.0,Positive
2066,15144.0,18,6530.04,3050,24,362.78,7,0.007868852459016393,3026,67.5,Positive
3383,16923.0,26,6488.3,3344,234,249.55,11,0.06997607655502393,3110,65.0,Positive
3669,17338.0,10,6461.79,3059,5,646.179,16,0.0016345210853220007,3054,17.647058823529413,Positive
2480,15694.0,15,6423.6,1677,12,428.24,0,0.007155635062611807,1665,450.0,Positive
3306,16814.0,22,6408.2,2697,1,291.28181818181815,13,0.0003707823507601038,2696,47.14285714285714,Positive
2318,15482.0,16,6393.52,5004,2022,399.595,15,0.4040767386091127,2982,30.0,Positive
1136,13871.0,14,6389.8,2806,5,456.4142857142857,22,0.001781895937277263,2801,18.26086956521739,Positive
231,12626.0,13,6388.35,3453,103,491.4115384615385,22,0.029829134086301768,3350,16.956521739130434,Positive
69,12431.0,18,6348.89,2908,50,352.7161111111111,35,0.0171939477303989,2858,15.0,Positive
579,13102.0,27,6336.29,4204,44,234.6774074074074,0,0.010466222645099905,4160,810.0,Positive
4324,18223.0,27,6315.2300000000005,2948,58,233.89740740740743,1,0.01967435549525102,2890,405.0,Positive
2794,16126.0,4,6287.77,2125,0,1571.9425,28,0.0,2125,4.137931034482759,Positive
101,12472.0,13,6229.48,4148,128,479.1907692307692,30,0.03085824493731919,4020,12.580645161290322,Positive
1016,13709.0,17,6228.71,3508,15,366.3947058823529,3,0.00427594070695553,3493,127.5,Positive
10,12357.0,1,6207.67,2708,0,6207.67,32,0.0,2708,0.9090909090909091,Positive
3656,17315.0,43,6193.43,3863,32,144.0332558139535,0,0.008283717318146519,3831,1290.0,Positive
12,12359.0,6,6182.9800000000005,1609,10,1030.4966666666667,7,0.006215040397762586,1599,22.5,Positive
988,13668.0,29,6162.31,3722,105,212.49344827586208,2,0.028210639441160666,3617,290.0,Positive
1953,15005.0,35,6160.54,4230,42,176.01542857142857,15,0.009929078014184398,4188,65.625,Positive
1274,14057.0,18,6141.099999999999,4873,168,341.1722222222222,23,0.03447568233121281,4705,22.5,Positive
1276,14060.0,20,6135.38,5386,12,306.769,4,0.0022279985146676567,5374,120.0,Positive
2657,15939.0,16,6102.26,4728,3,381.39125,89,0.0006345177664974619,4725,5.333333333333333,Positive
669,13225.0,8,6083.04,3416,64,760.38,2,0.01873536299765808,3352,80.0,Positive
3799,17509.0,11,6069.24,3512,4,551.7490909090909,57,0.0011389521640091116,3508,5.689655172413793,Positive
1304,14101.0,6,5976.79,6942,0,996.1316666666667,73,0.0,6942,2.4324324324324325,Positive
238,12637.0,10,5934.25,2994,12,593.425,66,0.004008016032064128,2982,4.477611940298507,Positive
2245,15382.0,8,5927.86,4012,9,740.9825,14,0.002243270189431705,4003,16.0,Positive
575,13097.0,14,5886.12,2360,22,420.4371428571429,32,0.009322033898305085,2338,12.727272727272727,Positive
809,13418.0,23,5845.44,3918,79,254.14956521739128,11,0.020163348647269014,3839,57.5,Positive
1913,14944.0,14,5842.95,2815,14,417.3535714285714,29,0.00497335701598579,2801,14.0,Positive
657,13209.0,11,5820.16,4253,21,529.1054545454546,29,0.004937691041617682,4232,11.0,Positive
1769,14735.0,34,5807.6900000000005,2264,104,170.8144117647059,3,0.045936395759717315,2160,255.0,Positive
1599,14505.0,11,5772.49,2739,16,524.7718181818182,16,0.005841548010222709,2723,19.411764705882355,Positive
1528,14415.0,18,5766.85,2996,38,320.3805555555556,0,0.012683578104138851,2958,540.0,Positive
2120,15218.0,11,5756.89,3329,0,523.3536363636364,10,0.0,3329,30.000000000000004,Positive
3934,17686.0,7,5739.46,2478,0,819.9228571428572,6,0.0,2478,30.0,Positive
638,13178.0,11,5725.47,3570,0,520.4972727272727,25,0.0,3570,12.692307692307692,Positive
308,12720.0,29,5713.28,4672,18,197.00965517241377,2,0.003852739726027397,4654,290.0,Positive
543,13050.0,28,5684.61,3748,41,203.0217857142857,8,0.010939167556029883,3707,93.33333333333334,Positive
1311,14110.0,13,5669.65,2457,2,436.12692307692305,3,0.000814000814000814,2455,97.5,Positive
3108,16553.0,14,5664.57,4600,5,404.6121428571428,162,0.0010869565217391304,4595,2.576687116564417,Positive
843,13468.0,41,5656.75,2589,8,137.96951219512195,1,0.003089996137504828,2581,615.0,Positive
510,13004.0,22,5613.43,4822,26,255.1559090909091,11,0.005391953546246371,4796,55.0,Positive
899,13534.0,43,5613.08,2961,85,130.53674418604652,1,0.028706518068220197,2876,645.0,Positive
3474,17049.0,11,5589.83,2673,7,508.16636363636366,2,0.002618780396558174,2666,110.0,Positive
393,12839.0,16,5583.62,3807,3,348.97625,2,0.0007880220646178094,3804,160.0,Positive
3268,16767.0,11,5575.56,4423,0,506.86909090909097,30,0.0,4423,10.64516129032258,Positive
110,12481.0,11,5574.36,3294,14,506.76,22,0.004250151791135397,3280,14.347826086956522,Positive
3986,17757.0,31,5573.59,3318,4,179.79322580645163,0,0.0012055455093429777,3314,930.0,Positive
737,13316.0,5,5570.6900000000005,5508,1,1114.1380000000001,36,0.00018155410312273057,5507,4.0540540540540535,Positive
4245,18118.0,31,5567.03,2865,5,179.5816129032258,10,0.0017452006980802793,2860,84.54545454545455,Positive
2331,15502.0,23,5541.46,4236,413,240.93304347826088,15,0.09749763928234183,3823,43.125,Positive
1266,14049.0,6,5536.15,3808,24,922.6916666666666,16,0.0063025210084033615,3784,10.588235294117647,Positive
3958,17716.0,12,5505.79,3072,68,458.81583333333333,22,0.022135416666666668,3004,15.652173913043477,Positive
3428,16985.0,11,5461.62,1832,2,496.5109090909091,16,0.001091703056768559,1830,19.411764705882355,Positive
3147,16609.0,9,5450.96,2420,10,605.6622222222222,14,0.004132231404958678,2410,18.0,Positive
2901,16265.0,11,5423.15,2646,19,493.01363636363635,8,0.007180650037792895,2627,36.66666666666667,Positive
115,12490.0,10,5417.93,3064,0,541.793,4,0.0,3064,60.0,Positive
2563,15805.0,20,5411.87,3367,50,270.5935,22,0.01485001485001485,3317,26.08695652173913,Positive
3960,17719.0,18,5367.8,2466,11,298.2111111111111,37,0.004460665044606651,2455,14.210526315789474,Positive
4326,18225.0,17,5356.86,3242,38,315.10941176470584,2,0.011721159777914868,3204,170.0,Positive
703,13269.0,17,5312.97,3513,5,312.52764705882356,0,0.0014232849416453174,3508,510.0,Positive
2821,16161.0,26,5311.08,2583,93,204.2723076923077,1,0.036004645760743324,2490,390.0,Positive
2923,16303.0,4,5305.83,2659,38,1326.4575,25,0.01429108687476495,2621,4.615384615384615,Positive
4048,17850.0,35,5303.4800000000005,1733,37,151.52800000000002,301,0.021350259665320254,1696,3.4768211920529803,Positive
3968,17730.0,15,5288.83,3576,9,352.58866666666665,2,0.0025167785234899327,3567,150.0,Positive
2072,15150.0,11,5280.83,3642,25,480.07545454545453,16,0.006864360241625481,3617,19.411764705882355,Positive
2897,16258.0,5,5203.51,2994,0,1040.702,44,0.0,2994,3.3333333333333335,Positive
4327,18226.0,14,5192.1,3466,7,370.86428571428576,38,0.002019619157530294,3459,10.769230769230768,Positive
2505,15727.0,7,5159.06,3063,0,737.0085714285715,16,0.0,3063,12.352941176470589,Positive
15,12362.0,13,5154.58,2229,17,396.50615384615384,2,0.00762673844773441,2212,130.0,Positive
3214,16701.0,18,5150.2699999999995,6393,182,286.1261111111111,8,0.028468637572344753,6211,60.0,Positive
1054,13756.0,15,5145.12,3188,24,343.008,1,0.0075282308657465494,3164,225.0,Positive
4054,17858.0,12,5140.66,2694,0,428.3883333333333,5,0.0,2694,60.0,Positive
2635,15903.0,8,5126.34,2410,1,640.7925,9,0.0004149377593360996,2409,24.0,Positive
3483,17061.0,12,5116.13,1526,42,426.3441666666667,73,0.027522935779816515,1484,4.864864864864865,Positive
4305,18198.0,21,5083.06,4074,235,242.05047619047622,3,0.05768286696121748,3839,157.5,Positive
70,12432.0,5,5059.32,1801,0,1011.8639999999999,42,0.0,1801,3.488372093023256,Positive
607,13139.0,8,5055.79,2425,7,631.97375,15,0.00288659793814433,2418,15.0,Positive
1733,14688.0,27,5055.61,3584,399,187.24481481481482,7,0.111328125,3185,101.25,Positive
3213,16700.0,17,5040.0,4024,5,296.47058823529414,8,0.001242544731610338,4019,56.66666666666667,Positive
2498,15719.0,14,5028.42,2718,1,359.17285714285714,32,0.0003679175864606328,2717,12.727272727272727,Positive
942,13599.0,33,5026.85,3293,125,152.3287878787879,0,0.03795930762222897,3168,990.0,Positive
3739,17426.0,7,5022.26,3094,12,717.4657142857143,3,0.003878474466709761,3082,52.5,Positive
2186,15301.0,14,5007.72,2751,7,357.69428571428574,50,0.002544529262086514,2744,8.23529411764706,Positive
79,12444.0,5,5005.46,1155,0,1001.092,20,0.0,1155,7.142857142857143,Positive
3869,17602.0,8,5002.22,4116,16,625.2775,1,0.003887269193391642,4100,120.0,Positive
1782,14755.0,12,4965.38,2219,2,413.7816666666667,9,0.0009013068949977468,2217,36.0,Positive
1986,15046.0,16,4940.66,3372,144,308.79125,8,0.042704626334519574,3228,53.333333333333336,Positive
2847,16191.0,25,4913.32,3351,148,196.53279999999998,2,0.04416592062071024,3203,250.0,Positive
1188,13941.0,7,4912.41,2364,57,701.7728571428571,21,0.024111675126903553,2307,9.545454545454547,Positive
1750,14709.0,14,4911.14,2484,2,350.7957142857143,14,0.0008051529790660225,2482,28.0,Positive
2368,15547.0,14,4910.6,3999,0,350.75714285714287,6,0.0,3999,60.0,Positive
75,12437.0,19,4896.66,2923,5,257.718947368421,1,0.0017105713308244953,2918,285.0,Positive
3533,17133.0,7,4892.240000000001,2730,0,698.8914285714287,15,0.0,2730,13.125,Positive
1466,14329.0,14,4889.14,3087,20,349.2242857142857,8,0.00647878198898607,3067,46.66666666666667,Positive
282,12688.0,1,4873.8099999999995,3028,0,4873.8099999999995,113,0.0,3028,0.2631578947368421,Positive
290,12700.0,6,4867.99,2967,4,811.3316666666666,7,0.0013481631277384564,2963,22.5,Positive
